Table 5,,,,,,,,,
,,,,,,,,,
Drivers Involved in Crashes and Involvement Rates Per Licensed Driver,,,,,,,,,
,,,,,,,,,
"by Sex and Crash Severity, 1975-2016",,,,,,,,,
,,,,,,,,,
Drivers in Fatal Crashes,,,,,,,,,
Year,Male (> 15 Years Old),,,Female (> 15 Years Old),,,Total (> 15 Years Old)*,,
2007,"1,708,000","102,338","1,669","1,333,000","103,152","1,292","3,041,000","205,490","1,480"
2008,"1,596,000","103,449","1,543","1,276,000","104,537","1,221","2,872,000","207,986","1,381"
2009,"1,487,000","104,056","1,429","1,217,000","105,153","1,157","2,704,000","209,209","1,292"
2010,"1,511,000","104,175","1,451","1,261,000","105,542","1,195","2,773,000","209,717","1,322"
2011,"1,503,000","104,720","1,435","1,240,000","106,794","1,161","2,743,000","211,514","1,297"
2012,"1,630,000","104,920","1,553","1,311,000","106,767","1,228","2,940,000","211,688","1,389"
2013,"1,578,000","104,976","1,503","1,327,000","107,121","1,239","2,905,000","212,097","1,370"
2014,"1,639,000","105,876","1,548","1,336,000","108,154","1,236","2,976,000","214,030","1,390"
2015,"1,728,000","107,617","1,605","1,407,000","110,402","1,274","3,134,000","218,019","1,438"
,,,,,,,,,
Sources: NASS GES 1988-2015; Licensed Drivers-Federal Highway Administration.,,,,,,,,,
,,,,,,,,,
*Total includes drivers (>15 years old) of unknown sex.,,,,,,,,,
,,,,,,,,,
Notes: Drivers in this table include motorcycle riders. Some States include restricted driver licenses and graduated driver licenses in their licensed driver counts.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 02/22/2018 at 9:36 PM",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 5,,,,,,,,,
,,,,,,,,,
Drivers Involved in Crashes and Involvement Rates Per Licensed Driver,,,,,,,,,
,,,,,,,,,
"by Sex and Crash Severity, 1988-2015",,,,,,,,,
,,,,,,,,,
Drivers in Property-Damage-Only Crashes,,,,,,,,,
Year,Male (> 15 Years Old),,,Female (> 15 Years Old),,,Total (> 15 Years Old)*,,
,Number Involved,Licensed Drivers,Involvement Rate,Number Involved,Licensed Drivers,Involvement Rate,Number Involved,Licensed Drivers,Involvement Rate
,in Crashes,(Thousands),per 100K Licensed,in Crashes,(Thousands),per 100K Licensed,in Crashes,(Thousands),per 100K Licensed
,,,Drivers,,,Drivers,,,Drivers
1988,"5,013,000","84,099","5,961","2,816,000","78,661","3,580","7,829,000","162,760","4,810"
1989,"4,915,000","85,356","5,758","2,687,000","80,160","3,352","7,602,000","165,516","4,593"
1990,"4,733,000","85,769","5,519","2,677,000","81,203","3,296","7,410,000","166,972","4,438"
1991,"4,419,000","86,630","5,101","2,600,000","82,300","3,159","7,019,000","168,930","4,155"
1992,"4,316,000","88,363","4,885","2,530,000","84,716","2,987","6,847,000","173,079","3,956"
1993,"4,402,000","87,974","5,003","2,561,000","85,138","3,008","6,963,000","173,112","4,022"
1994,"4,695,000","89,165","5,265","2,828,000","86,183","3,282","7,523,000","175,347","4,290"
1995,"4,847,000","89,184","5,434","2,905,000","87,386","3,325","7,752,000","176,570","4,390"
1996,"4,888,000","90,503","5,400","2,968,000","89,007","3,335","7,856,000","179,510","4,376"
1997,"4,808,000","91,888","5,232","2,967,000","90,789","3,268","7,775,000","182,677","4,256"
1998,"4,634,000","93,023","4,982","2,902,000","91,805","3,162","7,536,000","184,828","4,078"
1999,"4,509,000","94,149","4,789","2,800,000","92,988","3,011","7,309,000","187,137","3,906"
2000,"4,559,000","95,782","4,760","2,904,000","94,816","3,062","7,463,000","190,598","3,915"
2001,"4,518,000","95,779","4,717","2,903,000","95,471","3,041","7,421,000","191,250","3,880"
2002,"4,436,000","97,595","4,545","2,999,000","96,978","3,093","7,435,000","194,574","3,821"
2003,"4,528,000","98,209","4,610","3,020,000","97,919","3,084","7,547,000","196,128","3,848"
2004,"4,405,000","99,559","4,424","3,037,000","99,305","3,058","7,442,000","198,864","3,742"
2005,"4,357,000","100,240","4,347","3,007,000","100,285","2,998","7,364,000","200,525","3,672"
2006,"4,232,000","101,010","4,190","2,968,000","101,589","2,922","7,200,000","202,599","3,554"
2007,"4,329,000","102,338","4,230","3,058,000","103,152","2,964","7,386,000","205,490","3,594"
2008,"4,115,000","103,449","3,978","2,940,000","104,537","2,812","7,055,000","207,986","3,392"
2009,"3,839,000","104,056","3,689","2,879,000","105,153","2,738","6,718,000","209,209","3,211"
2010,"3,841,000","104,175","3,687","2,855,000","105,542","2,705","6,696,000","209,717","3,193"
2011,"3,669,000","104,720","3,503","2,918,000","106,794","2,732","6,586,000","211,514","3,114"
2012,"3,867,000","104,920","3,685","2,998,000","106,767","2,808","6,865,000","211,688","3,243"
2013,"3,978,000","104,976","3,789","3,085,000","107,121","2,880","7,063,000","212,097","3,330"
2014,"4,342,000","105,876","4,101","3,299,000","108,154","3,051","7,641,000","214,030","3,570"
2015,"4,551,000","107,617","4,229","3,383,000","110,402","3,065","7,934,000","218,019","3,639"
,,,,,,,,,
Sources: NASS GES 1988-2015; Licensed Drivers-Federal Highway Administration.,,,,,,,,,
,,,,,,,,,
*Total includes drivers (>15 years old) of unknown sex.,,,,,,,,,
,,,,,,,,,
Notes: Drivers in this table include motorcycle riders. Some States include restricted driver licenses and graduated driver licenses in their licensed driver counts.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"National Highway Traffic Safety Administration's Traffic Safety Facts Annual Report, generated 02/22/2018 at 9:36 PM",,,,,,,,,
